a_i  	N_t         	N_i         	N_p         	N_a         
2.930	5.540215e+05	5.538606e+05	1.609124e+02	1.419690e+04
2.940	5.558759e+05	5.557186e+05	1.573214e+02	1.420049e+04
2.950	5.577298e+05	5.575761e+05	1.537763e+02	1.420403e+04
2.960	5.595832e+05	5.594329e+05	1.502765e+02	1.420753e+04
2.970	5.614359e+05	5.612891e+05	1.468215e+02	1.421099e+04
2.980	5.632878e+05	5.631444e+05	1.434106e+02	1.421440e+04
2.990	5.651388e+05	5.649987e+05	1.400433e+02	1.421777e+04
3.000	5.669889e+05	5.668521e+05	1.367190e+02	1.422109e+04
3.010	5.688381e+05	5.687046e+05	1.334371e+02	1.422437e+04
3.020	5.706865e+05	5.705563e+05	1.301971e+02	1.422761e+04
3.030	5.725340e+05	5.724070e+05	1.269985e+02	1.423081e+04
3.040	5.743807e+05	5.742568e+05	1.238407e+02	1.423397e+04
3.050	5.762264e+05	5.761057e+05	1.207232e+02	1.423709e+04
3.060	5.780711e+05	5.779535e+05	1.176454e+02	1.424016e+04
3.070	5.799146e+05	5.798000e+05	1.146069e+02	1.424320e+04
3.080	5.817568e+05	5.816452e+05	1.116072e+02	1.424620e+04
3.090	5.835975e+05	5.834888e+05	1.086457e+02	1.424916e+04
3.100	5.854367e+05	5.853310e+05	1.057220e+02	1.425209e+04
3.110	5.872751e+05	5.871722e+05	1.028356e+02	1.425497e+04
3.120	5.891125e+05	5.890125e+05	9.998596e+01	1.425782e+04
3.130	5.909491e+05	5.908520e+05	9.717262e+01	1.426064e+04
3.140	5.927849e+05	5.926905e+05	9.439510e+01	1.426341e+04
3.150	5.946198e+05	5.945281e+05	9.165294e+01	1.426616e+04
3.160	5.964537e+05	5.963648e+05	8.894567e+01	1.426886e+04
3.170	5.982865e+05	5.982002e+05	8.627284e+01	1.427154e+04
3.180	6.001180e+05	6.000344e+05	8.363401e+01	1.427418e+04
3.190	6.019481e+05	6.018671e+05	8.102873e+01	1.427678e+04
3.200	6.037766e+05	6.036981e+05	7.845658e+01	1.427935e+04
3.210	6.056034e+05	6.055274e+05	7.591713e+01	1.428189e+04
3.220	6.074278e+05	6.073544e+05	7.340995e+01	1.428440e+04
3.230	6.092500e+05	6.091790e+05	7.093464e+01	1.428687e+04
3.240	6.110697e+05	6.110012e+05	6.849081e+01	1.428932e+04
3.250	6.128871e+05	6.128210e+05	6.607807e+01	1.429173e+04
3.260	6.147021e+05	6.146384e+05	6.369603e+01	1.429411e+04
3.270	6.165147e+05	6.164534e+05	6.134429e+01	1.429646e+04
3.280	6.183250e+05	6.182659e+05	5.902249e+01	1.429879e+04
3.290	6.201327e+05	6.200760e+05	5.673023e+01	1.430108e+04
3.300	6.219379e+05	6.218834e+05	5.446714e+01	1.430334e+04
3.310	6.237403e+05	6.236880e+05	5.223286e+01	1.430558e+04
3.320	6.255397e+05	6.254897e+05	5.002701e+01	1.430778e+04
3.330	6.273361e+05	6.272883e+05	4.784924e+01	1.430996e+04
3.340	6.291292e+05	6.290835e+05	4.569919e+01	1.431211e+04
3.350	6.309189e+05	6.308753e+05	4.357651e+01	1.431423e+04
3.360	6.327050e+05	6.326635e+05	4.148085e+01	1.431633e+04
3.370	6.344875e+05	6.344481e+05	3.941188e+01	1.431840e+04
3.380	6.362664e+05	6.362291e+05	3.736924e+01	1.432044e+04
3.390	6.380417e+05	6.380063e+05	3.535262e+01	1.432246e+04
3.400	6.398133e+05	6.397799e+05	3.336167e+01	1.432445e+04
3.410	6.415812e+05	6.415498e+05	3.139608e+01	1.432641e+04
3.420	6.433456e+05	6.433162e+05	2.945552e+01	1.432835e+04
3.430	6.451066e+05	6.450791e+05	2.753967e+01	1.433027e+04
3.440	6.468641e+05	6.468385e+05	2.564821e+01	1.433216e+04
3.450	6.486179e+05	6.485941e+05	2.378083e+01	1.433403e+04
3.460	6.503678e+05	6.503459e+05	2.193721e+01	1.433587e+04
3.470	6.521138e+05	6.520937e+05	2.011706e+01	1.433769e+04
3.480	6.538556e+05	6.538373e+05	1.832006e+01	1.433949e+04
3.490	6.555932e+05	6.555767e+05	1.654593e+01	1.434126e+04
3.500	6.573265e+05	6.573117e+05	1.479437e+01	1.434301e+04
3.510	6.590552e+05	6.590422e+05	1.306510e+01	1.434474e+04
3.520	6.607795e+05	6.607681e+05	1.135783e+01	1.434645e+04
3.530	6.624992e+05	6.624895e+05	9.672283e+00	1.434814e+04
3.540	6.642143e+05	6.642062e+05	8.008184e+00	1.434980e+04
3.550	6.659247e+05	6.659183e+05	6.365260e+00	1.435144e+04
3.560	6.676306e+05	6.676258e+05	4.743243e+00	1.435307e+04
3.570	6.693318e+05	6.693287e+05	3.141868e+00	1.435467e+04
3.580	6.710284e+05	6.710268e+05	1.560873e+00	1.435625e+04
3.590	6.727214e+05	6.727198e+05	1.541002e+00	1.435627e+04
3.600	6.744090e+05	6.744075e+05	1.521377e+00	1.435629e+04
3.610	6.760916e+05	6.760901e+05	1.501999e+00	1.435631e+04
3.620	6.777693e+05	6.777678e+05	1.482868e+00	1.435633e+04
3.630	6.794420e+05	6.794405e+05	1.463982e+00	1.435635e+04
3.640	6.811096e+05	6.811081e+05	1.445335e+00	1.435636e+04
3.650	6.827720e+05	6.827706e+05	1.426925e+00	1.435638e+04
3.660	6.844293e+05	6.844279e+05	1.408749e+00	1.435640e+04
3.670	6.860812e+05	6.860798e+05	1.390801e+00	1.435642e+04
3.680	6.877279e+05	6.877265e+05	1.373081e+00	1.435644e+04
3.690	6.893692e+05	6.893678e+05	1.355584e+00	1.435645e+04
3.700	6.910050e+05	6.910037e+05	1.338309e+00	1.435647e+04
3.710	6.926354e+05	6.926341e+05	1.321251e+00	1.435649e+04
3.720	6.942603e+05	6.942590e+05	1.304409e+00	1.435650e+04
3.730	6.958796e+05	6.958783e+05	1.287778e+00	1.435652e+04
3.740	6.974933e+05	6.974921e+05	1.271357e+00	1.435654e+04
3.750	6.991014e+05	6.991001e+05	1.255143e+00	1.435655e+04
3.760	7.007037e+05	7.007025e+05	1.239133e+00	1.435657e+04
3.770	7.023004e+05	7.022991e+05	1.223325e+00	1.435659e+04
3.780	7.038912e+05	7.038900e+05	1.207715e+00	1.435660e+04
3.790	7.054763e+05	7.054751e+05	1.192302e+00	1.435662e+04
3.800	7.070555e+05	7.070543e+05	1.177083e+00	1.435663e+04
3.810	7.086287e+05	7.086276e+05	1.162055e+00	1.435665e+04
3.820	7.101961e+05	7.101950e+05	1.147215e+00	1.435666e+04
3.830	7.117576e+05	7.117564e+05	1.132563e+00	1.435668e+04
3.840	7.133130e+05	7.133119e+05	1.118094e+00	1.435669e+04
3.850	7.148625e+05	7.148614e+05	1.103807e+00	1.435671e+04
